quality_class,District_Count,Mean_Crop_Pct,Mean_Total_Pixels,Mean_Boundary_Pixels,Mean_Full_Pixels
Low,45,17.3,50.8,30.9,19.9
Medium,25,6.3,133.8,55.9,78.0
